news_headline,news_article,news_category,full_text,clean_text
Finch is a scary proposition for any opposition team: Cummins,"Australian pacer Pat Cummins said that batter Aaron Finch is a ""scary proposition for any opposition"" team. ""He's (Finch) got 3,000 T20I runs to his name, and he's still brave enough to take the game on. Big tournament for him I'm sure,"" Cummins said. Notably, Finch has scored just one fifty in his last 10 T20I games.",sports,"Finch is a scary proposition for any opposition team: Cummins. Australian pacer Pat Cummins said that batter Aaron Finch is a ""scary proposition for any opposition"" team. ""He's (Finch) got 3,000 T20I runs to his name, and he's still brave enough to take the game on. Big tournament for him I'm sure,"" Cummins said. Notably, Finch has scored just one fifty in his last 10 T20I games.",finch scary proposition opposition team cummin australian pacer pat cummin say batter aaron finch scary proposition opposition team finch get ti run name still brave enough take game big tournament I sure cummin say notably finch score one fifty last ti game
England have got 'mojo back' ahead of T20 WC: Coach Matthew Mott,"England's white-ball coach Matthew Mott said that the side has got their ""mojo back"" ahead of the T20 World Cup. ""There's a number of teams that are potential winners of this WC, of which we're one,"" Mott said. He added, ""I think we're in a pretty good spot at the moment...[and] we don't want to be...predictable [in the tournament].""",sports,"England have got 'mojo back' ahead of T20 WC: Coach Matthew Mott. England's white-ball coach Matthew Mott said that the side has got their ""mojo back"" ahead of the T20 World Cup. ""There's a number of teams that are potential winners of this WC, of which we're one,"" Mott said. He added, ""I think we're in a pretty good spot at the moment...[and] we don't want to be...predictable [in the tournament].""",england get mojo back ahead wc coach matthew mott england white ball coach matthew mott say side get mojo back ahead world cup number team potential winner wc one mott say add I think pretty good spot moment [ ] not want predictable [ tournament ]
Someone other than Rohit should get role of increasing run-rate: Klusener,"Ex-South Africa all-rounder Lance Klusener said India should assign the role of increasing run-rate in powerplay to someone other than Rohit Sharma. ""There's no need for Rohit to go faster. He was playing easily fast enough, aggressive enough and well enough...not to have changed,"" Klusener added. India will open their T20 World Cup 2022 campaign against Pakistan on October 23.",sports,"Someone other than Rohit should get role of increasing run-rate: Klusener. Ex-South Africa all-rounder Lance Klusener said India should assign the role of increasing run-rate in powerplay to someone other than Rohit Sharma. ""There's no need for Rohit to go faster. He was playing easily fast enough, aggressive enough and well enough...not to have changed,"" Klusener added. India will open their T20 World Cup 2022 campaign against Pakistan on October 23.",someone rohit get role increase run rate klusener ex south africa rounder lance klusener say india assign role increase run rate powerplay someone rohit sharma no need rohit go fast play easily fast enough aggressive enough well enough not change klusener add india open world cup campaign pakistan october
Still struggling to process T20 WC win over UAE: Netherlands captain,"Netherlands captain Scott Edwards said he is ""still struggling to process"" the team's last-over win against UAE in the ICC Men's T20 World Cup. ""It was nervy...the main thing is relief, getting the tournament underway with a win is the most important,"" said Edwards. Netherlands chased down 112-run target with one ball and three wickets to spare.",sports,"Still struggling to process T20 WC win over UAE: Netherlands captain. Netherlands captain Scott Edwards said he is ""still struggling to process"" the team's last-over win against UAE in the ICC Men's T20 World Cup. ""It was nervy...the main thing is relief, getting the tournament underway with a win is the most important,"" said Edwards. Netherlands chased down 112-run target with one ball and three wickets to spare.",still struggle process wc win uae netherlands captain netherlands captain scott edwards say still struggle process team last win uae icc men world cup nervy main thing relief get tournament underway win important say edwards netherlands chase run target one ball three wicket spare
Tremendous start to T20 WC 2022: Bishop after Namibia's win over Sri Lanka,"Reacting to Namibia's win over Sri Lanka in T20 World Cup 2022, Ian Bishop tweeted, ""Tremendous start to T20 World Cup 2022. Biggest take-down of Gerhard Erasmus and Namibia crickets journey so far."" Ex-South African cricketer Albie Morkel said, ""This is what dreams are made of. Amazing day. Well done champs."" Robin Uthappa wrote on Twitter, ""Phenomenal performance by Namibia.""",sports,"Tremendous start to T20 WC 2022: Bishop after Namibia's win over Sri Lanka. Reacting to Namibia's win over Sri Lanka in T20 World Cup 2022, Ian Bishop tweeted, ""Tremendous start to T20 World Cup 2022. Biggest take-down of Gerhard Erasmus and Namibia crickets journey so far."" Ex-South African cricketer Albie Morkel said, ""This is what dreams are made of. Amazing day. Well done champs."" Robin Uthappa wrote on Twitter, ""Phenomenal performance by Namibia.""",tremendous start wc bishop namibias win sri lanka react namibias win sri lanka world cup ian bishop tweet tremendous start world cup big take gerhard erasmus namibia cricket journey far ex south african cricketer albie morkel say dream make amazing day well champ robin uthappa write twitter phenomenal performance namibia
Brazil have great chance of winning FIFA World Cup 2022: Cafu,"Brazil have a great chance of winning the FIFA World Cup in Qatar this year, said former Brazilian footballer Cafu. ""Brazil today are much more prepared and experienced. The team does not depend exclusively on a single player. Instead we have a group that makes him (Neymar Jr) stand out,"" he added. World Cup will begin on November 20.",sports,"Brazil have great chance of winning FIFA World Cup 2022: Cafu. Brazil have a great chance of winning the FIFA World Cup in Qatar this year, said former Brazilian footballer Cafu. ""Brazil today are much more prepared and experienced. The team does not depend exclusively on a single player. Instead we have a group that makes him (Neymar Jr) stand out,"" he added. World Cup will begin on November 20.",brazil great chance win fifa world cup cafu brazil great chance win fifa world cup qatar year say former brazilian footballer cafu brazil today much prepared experienced team not depend exclusively single player instead group make neymar jr stand add world cup begin november
Indian men's 10m air rifle team wins gold at World Shooting Championship,"Indian men's 10m air rifle team of Rudrankksh Patil, Arjun Babuta and Kiran Jadhav won the country's fifth gold medal at ISSF World Shooting Championship in Cairo on Sunday. India beat China 16-10 in the gold medal match. Meanwhile, Indian women's 10m air rifle team of Mehuli Ghosh, Elavenil Valarivan and Meghana Sajjanar won bronze medal after defeating Germany 17-11.",sports,"Indian men's 10m air rifle team wins gold at World Shooting Championship. Indian men's 10m air rifle team of Rudrankksh Patil, Arjun Babuta and Kiran Jadhav won the country's fifth gold medal at ISSF World Shooting Championship in Cairo on Sunday. India beat China 16-10 in the gold medal match. Meanwhile, Indian women's 10m air rifle team of Mehuli Ghosh, Elavenil Valarivan and Meghana Sajjanar won bronze medal after defeating Germany 17-11.",indian men air rifle team win gold world shoot championship indian men air rifle team rudrankksh patil arjun babuta kiran jadhav win countrys fifth gold medal issf world shoot championship cairo sunday india beat china gold medal match meanwhile indian women air rifle team mehuli ghosh elavenil valarivan meghana sajjanar win bronze medal defeat germany
"Real Madrid defeat Barça 3-1 in season's 1st El Clasico, top La Liga table","Karim Benzema, Federico Valverde and Rodrygo each scored a goal as Real Madrid defeated Barcelona 3-1 in the season's first El Clasico. With this, Real Madrid took over from Barcelona as the La Liga table toppers with a three-point lead. Barcelona's Ferran Torres scored a goal in the 83rd minute while Real Madrid's Rodrygo converted a penalty in stoppage time.",sports,"Real Madrid defeat Barça 3-1 in season's 1st El Clasico, top La Liga table. Karim Benzema, Federico Valverde and Rodrygo each scored a goal as Real Madrid defeated Barcelona 3-1 in the season's first El Clasico. With this, Real Madrid took over from Barcelona as the La Liga table toppers with a three-point lead. Barcelona's Ferran Torres scored a goal in the 83rd minute while Real Madrid's Rodrygo converted a penalty in stoppage time.",real madrid defeat barca season st el clasico top la liga table karim benzema federico valverde rodrygo score goal real madrid defeat barcelona season first el clasico real madrid take barcelona la liga table topper three point lead barcelonas ferran torre score goal rd minute real madrid rodrygo convert penalty stoppage time
Man Utd-Newcastle match ends in 0-0 draw as Ronaldo's goal ruled offside,"Manchester United and Newcastle's Premier League match ended 0-0, ensuring both teams stayed in the table's top six. ""We've had our moments and chances today. I'm very proud of our players,"" said Newcastle manager Eddie Howe after the match. United's Cristiano Ronaldo had a goal ruled offside while Newcastle forward Joelinton's doubleheader hit the crossbar and then the post.",sports,"Man Utd-Newcastle match ends in 0-0 draw as Ronaldo's goal ruled offside. Manchester United and Newcastle's Premier League match ended 0-0, ensuring both teams stayed in the table's top six. ""We've had our moments and chances today. I'm very proud of our players,"" said Newcastle manager Eddie Howe after the match. United's Cristiano Ronaldo had a goal ruled offside while Newcastle forward Joelinton's doubleheader hit the crossbar and then the post.",man utd newcastle match end draw ronaldo goal rule offside manchester united newcastles premier league match end ensure team stay table top six moment chance today I proud player say newcastle manager eddie howe match united cristiano ronaldo goal rule offside newcastle forward joelinton doubleheader hit crossbar post
World no. 1 Swiatek reaches her 9th final of 2022 at San Diego Open,"World number one Iga Swiatek reached her ninth final of the season after beating fourth-seeded Jessie Pegula 4-6, 6-2, 6-2 in San Diego Open semi-final. This is the 21-year-old's 63rd win of 2022. Swiatek will become the fourth woman to finish the year with more than 10,000 points in WTA Tour rankings, after Victoria Azarenka, Maria Sharapova and Serena Williams.",sports,"World no. 1 Swiatek reaches her 9th final of 2022 at San Diego Open. World number one Iga Swiatek reached her ninth final of the season after beating fourth-seeded Jessie Pegula 4-6, 6-2, 6-2 in San Diego Open semi-final. This is the 21-year-old's 63rd win of 2022. Swiatek will become the fourth woman to finish the year with more than 10,000 points in WTA Tour rankings, after Victoria Azarenka, Maria Sharapova and Serena Williams.",world no swiatek reach th final san diego open world number one iga swiatek reach ninth final season beat fourth seeded jessie pegula san diego open semi final year old rd win swiatek become fourth woman finish year point wta tour ranking victoria azarenka maria sharapova serena williams
More than 1.5 mn people have applied for FIFA World Cup passes: Qatar,"Qatar said anywhere between 1.5 million and 1.7 million people have applied for compulsory FIFA World Cup pass. The card acts as a visa, match ticket and transportation ticket, and gives access to some fan zones. All travellers to Qatar will need the pass to enter the country from November 1, whether they intend to watch a game or not.",sports,"More than 1.5 mn people have applied for FIFA World Cup passes: Qatar. Qatar said anywhere between 1.5 million and 1.7 million people have applied for compulsory FIFA World Cup pass. The card acts as a visa, match ticket and transportation ticket, and gives access to some fan zones. All travellers to Qatar will need the pass to enter the country from November 1, whether they intend to watch a game or not.",mn people apply fifa world cup pass qatar qatar say anywhere million million people apply compulsory fifa world cup pass card act visa match ticket transportation ticket give access fan zone traveller qatar need pass enter country november whether intend watch game not
Should have listened to Russell during Japanese GP: Mercedes F1,"Mercedes F1 trackside engineer Andrew Shovlin said the team agrees with driver George Russell that they should not have pitted him at the same time as Lewis Hamilton during the Japanese GP. ""We should have done what George was asking, which was to give him the lap in clean air,"" said Shovlin. Russell finished eighth due to Mercedes' strategy error.",sports,"Should have listened to Russell during Japanese GP: Mercedes F1. Mercedes F1 trackside engineer Andrew Shovlin said the team agrees with driver George Russell that they should not have pitted him at the same time as Lewis Hamilton during the Japanese GP. ""We should have done what George was asking, which was to give him the lap in clean air,"" said Shovlin. Russell finished eighth due to Mercedes' strategy error.",listen russell japanese gp mercedes f mercedes f trackside engineer andrew shovlin say team agree driver george russell not pit time lewis hamilton japanese gp george ask give lap clean air say shovlin russell finish eighth due mercedes strategy error
Top seed Rublev wins inaugural Gijon Open for his 4th title of 2022,"Top seed Andrey Rublev defeated unseeded Sebastian Korda 6-2, 6-3 in the Gijon Open final to win his fourth title of the season on Sunday. The world number nine beat Ilya Ivashka, Tommy Paul and US Open 2020 champion Dominic Thiem en route to the final of the inaugural tournament. Overall, it was Rublev's 12th ATP title in men's singles.",sports,"Top seed Rublev wins inaugural Gijon Open for his 4th title of 2022. Top seed Andrey Rublev defeated unseeded Sebastian Korda 6-2, 6-3 in the Gijon Open final to win his fourth title of the season on Sunday. The world number nine beat Ilya Ivashka, Tommy Paul and US Open 2020 champion Dominic Thiem en route to the final of the inaugural tournament. Overall, it was Rublev's 12th ATP title in men's singles.",top seed rublev win inaugural gijon open th title top seed andrey rublev defeat unseeded sebastian korda gijon open final win fourth title season sunday world number nine beat ilya ivashka tommy paul open champion dominic thiem en route final inaugural tournament overall rublevs th atp title men single
"Incredible team, effort: Smriti on India's record 7th Women's Asia Cup title","Praising India following their record-extending seventh Women's Asia Cup title, vice-captain Smriti Mandhana took to Twitter and wrote, ""Incredible team. Incredible effort. A seventh Asia Cup for India. Can't wait to win many more with this bunch."" With an unbeaten 51 runs off 25 balls, Smriti top-scored in the match. India beat Sri Lanka by eight wickets on Saturday. ",sports,"Incredible team, effort: Smriti on India's record 7th Women's Asia Cup title. Praising India following their record-extending seventh Women's Asia Cup title, vice-captain Smriti Mandhana took to Twitter and wrote, ""Incredible team. Incredible effort. A seventh Asia Cup for India. Can't wait to win many more with this bunch."" With an unbeaten 51 runs off 25 balls, Smriti top-scored in the match. India beat Sri Lanka by eight wickets on Saturday. ",incredible team effort smriti indias record th womens asia cup title praise india follow record extend seventh womens asia cup title vice captain smriti mandhana take twitter write incredible team incredible effort seventh asia cup india not wait win many bunch unbeaten run ball smriti top score match india beat sri lanka eight wicket saturday
Haaland fails to score for 1st time in PL as Man City lose against Liverpool,"Erling Haaland failed to score for Manchester City for the first time in 10 Premier League matches as they lost to Liverpool 0-1 at Anfield on Sunday. Mohamed Salah scored the lone goal in 76th minute. It's Manchester City's first Premier League defeat of the season. They're now four points behind leaders Arsenal, while Liverpool are eighth in the standings. ",sports,"Haaland fails to score for 1st time in PL as Man City lose against Liverpool. Erling Haaland failed to score for Manchester City for the first time in 10 Premier League matches as they lost to Liverpool 0-1 at Anfield on Sunday. Mohamed Salah scored the lone goal in 76th minute. It's Manchester City's first Premier League defeat of the season. They're now four points behind leaders Arsenal, while Liverpool are eighth in the standings. ",haaland fail score st time pl man city lose liverpool erle haaland fail score manchester city first time premier league match lose liverpool anfield sunday mohamed salah score lone goal th minute manchester citys first premier league defeat season four point behind leader arsenal liverpool eighth standing
Arsenal vs Leeds suspended for 38 mins due to stadium power surge,"Arsenal FC's Premier League match against Leeds United was suspended for 38 minutes after an electrical issue at the Elland Road stadium. A reported 'power surge' at kick-off led to VAR, referee communications and stadium lights being affected. The match was suspended after about three minutes of starting and players were asked to go back to their dressing rooms. ",sports,"Arsenal vs Leeds suspended for 38 mins due to stadium power surge. Arsenal FC's Premier League match against Leeds United was suspended for 38 minutes after an electrical issue at the Elland Road stadium. A reported 'power surge' at kick-off led to VAR, referee communications and stadium lights being affected. The match was suspended after about three minutes of starting and players were asked to go back to their dressing rooms. ",arsenal vs leed suspend min due stadium power surge arsenal fcs premier league match leeds united suspend minute electrical issue elland road stadium report power surge kick lead var referee communication stadium light affect match suspend three minute starting player ask go back dress room
"Regasa, Cheptai win elite races at Delhi Half Marathon, Sable fastest Indian","Ethiopia's Chala Regasa won the men's elite race at Vedanta Delhi Half Marathon, with a timing of one hour 30 seconds, on Sunday. Kenya's Irene Chepet Cheptai clocked a personal best of 1:06:42 to top the women's event. Steeple-chaser Avinash Sable won the Indian men's elite race by 0.04 seconds ahead of Kartik Kumar. Both Sable and Kartik clocked 1:04:00.",sports,"Regasa, Cheptai win elite races at Delhi Half Marathon, Sable fastest Indian. Ethiopia's Chala Regasa won the men's elite race at Vedanta Delhi Half Marathon, with a timing of one hour 30 seconds, on Sunday. Kenya's Irene Chepet Cheptai clocked a personal best of 1:06:42 to top the women's event. Steeple-chaser Avinash Sable won the Indian men's elite race by 0.04 seconds ahead of Kartik Kumar. Both Sable and Kartik clocked 1:04:00.",regasa cheptai win elite race delhi half marathon sable fast indian ethiopias chala regasa win men elite race vedanta delhi half marathon timing one hour second sunday kenyas irene chepet cheptai clock personal good top womens event steeple chaser avinash sable win indian men elite race second ahead kartik kumar sable kartik clock
Hope girls play freely now in U-17 Women's WC: India head coach Dennerby ,Indian Under-17 women's football team head coach Thomas Dennerby said he wants his side to start playing freely now as they've nothing to lose in FIFA Under-17 Women's World Cup. Hosts India are already out of the World Cup having lost their first two group matches against the United States (0-8) and Morocco (0-3). India will face Brazil on Monday.,sports,Hope girls play freely now in U-17 Women's WC: India head coach Dennerby . Indian Under-17 women's football team head coach Thomas Dennerby said he wants his side to start playing freely now as they've nothing to lose in FIFA Under-17 Women's World Cup. Hosts India are already out of the World Cup having lost their first two group matches against the United States (0-8) and Morocco (0-3). India will face Brazil on Monday.,hope girl play freely u women wc india head coach dennerby indian women football team head coach thomas dennerby say want side start play freely nothing lose fifa women world cup host india already world cup lose first two group match united states morocco india face brazil monday
"Russia giving Viagra to soldiers, using rape as 'strategy' in Ukraine: UN official","Russia is using rape and sexual assault as a ""strategy"" in Ukraine, a UN official said in an interview. ""When you hear women testify about Russian soldiers equipped with Viagra, it's clearly a military strategy,"" said UN special representative on sexual violence in conflict, Pramila Patten. UN verified over 100 rape cases in Ukraine since the war began, she added.",world,"Russia giving Viagra to soldiers, using rape as 'strategy' in Ukraine: UN official. Russia is using rape and sexual assault as a ""strategy"" in Ukraine, a UN official said in an interview. ""When you hear women testify about Russian soldiers equipped with Viagra, it's clearly a military strategy,"" said UN special representative on sexual violence in conflict, Pramila Patten. UN verified over 100 rape cases in Ukraine since the war began, she added.",russia give viagra soldier use rape strategy ukraine un official russia use rape sexual assault strategy ukraine un official say interview hear woman testify russian soldier equip viagra clearly military strategy say un special representative sexual violence conflict pramila patten un verify rape case ukraine since war begin add
Putin's chief of Ukraine mobilisation found dead under 'suspicious circumstances',"Lieutenant Colonel Roman Malyk, the head of Russian President Vladimir Putin's Ukraine mobilisation campaign, has been found dead under 'mysterious circumstances', multiple reports said. The 49-year-old was reportedly found dead near a fence at his home. Russian police, who started a murder probe, haven't ruled out suicide with some reports saying Malyk died due to hanging.",world,"Putin's chief of Ukraine mobilisation found dead under 'suspicious circumstances'. Lieutenant Colonel Roman Malyk, the head of Russian President Vladimir Putin's Ukraine mobilisation campaign, has been found dead under 'mysterious circumstances', multiple reports said. The 49-year-old was reportedly found dead near a fence at his home. Russian police, who started a murder probe, haven't ruled out suicide with some reports saying Malyk died due to hanging.",putin chief ukraine mobilisation find dead suspicious circumstance lieutenant colonel roman malyk head russian president vladimir putins ukraine mobilisation campaign find dead mysterious circumstance multiple report say year old reportedly find dead near fence home russian police start murder probe not rule suicide report say malyk die due hanging
Trying my hardest to de-escalate it and failing: Musk on Ukraine-Russia situation,"World's richest person Elon Musk said he's trying his ""hardest to de-escalate"" Ukraine-Russia situation and ""obviously failing"". His response came to a Twitter user accusing him of continuing support for ""US proxy war"" in Ukraine after Musk said SpaceX will provide Starlink in Ukraine despite losing money. ""Damned if you do, damned if you don't, so...I'm just damned,"" Musk wrote.",world,"Trying my hardest to de-escalate it and failing: Musk on Ukraine-Russia situation. World's richest person Elon Musk said he's trying his ""hardest to de-escalate"" Ukraine-Russia situation and ""obviously failing"". His response came to a Twitter user accusing him of continuing support for ""US proxy war"" in Ukraine after Musk said SpaceX will provide Starlink in Ukraine despite losing money. ""Damned if you do, damned if you don't, so...I'm just damned,"" Musk wrote.",try hard de escalate fail musk ukraine russia situation world rich person elon musk say try hard de escalate ukraine russia situation obviously fail response come twitter user accuse continue support proxy war ukraine musk say spacex provide starlink ukraine despite lose money damn damn not I damn musk wrote
US embassy in India releases over 1 lakh work visa appointments for H&L categories,"The US embassy in India has announced the release of over 1 lakh work visa appointments for the H&L workers and their families, in view of the ""high demand for employment-based visas"". ""This...reflects our ongoing commitment to H&L workers,"" it said. The wait time for both interview waiver and first-time appointments has been ""cut in half"", it added. ",world,"US embassy in India releases over 1 lakh work visa appointments for H&L categories. The US embassy in India has announced the release of over 1 lakh work visa appointments for the H&L workers and their families, in view of the ""high demand for employment-based visas"". ""This...reflects our ongoing commitment to H&L workers,"" it said. The wait time for both interview waiver and first-time appointments has been ""cut in half"", it added. ",us embassy india release lakh work visa appointment hl category us embassy india announce release lakh work visa appointment hl worker family view high demand employment base visa reflect ongoing commitment hl worker say wait time interview waiver first time appointment cut half add
"US economy strong as hell, I'm concerned about rest of the world: Biden","US President Joe Biden said, ""Our economy is strong as hell - the internals of it. Inflation is worldwide. It's worse off everywhere else than it is in the United States."" On the soaring US dollar, he said, ""I'm not concerned about the strength of the dollar. I'm concerned about the rest of the world.""",world,"US economy strong as hell, I'm concerned about rest of the world: Biden. US President Joe Biden said, ""Our economy is strong as hell - the internals of it. Inflation is worldwide. It's worse off everywhere else than it is in the United States."" On the soaring US dollar, he said, ""I'm not concerned about the strength of the dollar. I'm concerned about the rest of the world.""",economy strong hell I concerned rest world biden us president joe biden say economy strong hell internal inflation worldwide bad everywhere else united states soar us dollar say I not concerned strength dollar I concerned rest world
Factually incorrect: Pak PM on Biden's 'dangerous nation' remark,"After US President Joe Biden called Pakistan ""one of the most dangerous nations in the world"", the country's PM Shehbaz Sharif said that the remark is ""factually incorrect and misleading"". He added that Pakistan has proved to be the ""most responsible nuclear nation"" over the past decades. Earlier, Pakistan had summoned the US ambassador over Biden's comment.",world,"Factually incorrect: Pak PM on Biden's 'dangerous nation' remark. After US President Joe Biden called Pakistan ""one of the most dangerous nations in the world"", the country's PM Shehbaz Sharif said that the remark is ""factually incorrect and misleading"". He added that Pakistan has proved to be the ""most responsible nuclear nation"" over the past decades. Earlier, Pakistan had summoned the US ambassador over Biden's comment.",factually incorrect pak pm biden dangerous nation remark us president joe biden call pakistan one dangerous nation world countrys pm shehbaz sharif say remark factually incorrect misleading add pakistan prove responsible nuclear nation past decade early pakistan summon us ambassador biden comment
"12 shot dead as gunmen open fire in Mexico bar, 2nd mass shooting in less than 30 days","Unidentified gunmen opened fire in a bar in the central Mexican city of Irapuato on Saturday evening, shooting dead six women and six men, authorities said. Three people were injured in the attack. It is the second mass shooting in Guanajuato in less than a month as 10 people were shot dead at a bar in Tarimoro on September 21.",world,"12 shot dead as gunmen open fire in Mexico bar, 2nd mass shooting in less than 30 days. Unidentified gunmen opened fire in a bar in the central Mexican city of Irapuato on Saturday evening, shooting dead six women and six men, authorities said. Three people were injured in the attack. It is the second mass shooting in Guanajuato in less than a month as 10 people were shot dead at a bar in Tarimoro on September 21.",shot dead gunman open fire mexico bar nd mass shooting less day unidentified gunman open fire bar central mexican city irapuato saturday evening shoot dead six woman six man authority say three people injure attack second mass shooting guanajuato less month people shoot dead bar tarimoro september
"Xi Jinping says China will not renounce right to use force over Taiwan, it responds","China will never renounce the right to use force to resolve the Taiwan issue but will strive for a peaceful resolution, President Xi Jinping said on Sunday. ""The complete reunification of the motherland must be achieved,"" he added. Taiwan responded by saying that it will not back down on its sovereignty or compromise on freedom and democracy.",world,"Xi Jinping says China will not renounce right to use force over Taiwan, it responds. China will never renounce the right to use force to resolve the Taiwan issue but will strive for a peaceful resolution, President Xi Jinping said on Sunday. ""The complete reunification of the motherland must be achieved,"" he added. Taiwan responded by saying that it will not back down on its sovereignty or compromise on freedom and democracy.",xi jinping say china not renounce right use force taiwan respond china never renounce right use force resolve taiwan issue strive peaceful resolution president xi jinping say sunday complete reunification motherland must achieve add taiwan respond say not back sovereignty compromise freedom democracy
Video shows massive fire engulfing 24-storey skyscraper in Istanbul,"Footage of a massive fire that tore through every floor of a 24-storey building in Istanbul has gone viral online. Skies in the area can be seen covered in thick black smoke from the blaze reported in the Turkish city. A fire had broken out in the same area due to a gas leak recently, killing three people.",world,"Video shows massive fire engulfing 24-storey skyscraper in Istanbul. Footage of a massive fire that tore through every floor of a 24-storey building in Istanbul has gone viral online. Skies in the area can be seen covered in thick black smoke from the blaze reported in the Turkish city. A fire had broken out in the same area due to a gas leak recently, killing three people.",video show massive fire engulf storey skyscraper istanbul footage massive fire tear every floor storey building istanbul go viral online sky area see cover thick black smoke blaze report turkish city fire break area due gas leak recently kill three people
"US President grabs girl's shoulder, says 'No serious guys until you're 30'; video viral","After addressing a college in US, President Joe Biden gave dating advice to a girl, saying, ""Now a very important thing I told my daughters and granddaughters- no serious guys until you're 30."" The video of the exchange shows Biden getting a picture clicked with the girl before grabbing her shoulder and advising her.",world,"US President grabs girl's shoulder, says 'No serious guys until you're 30'; video viral. After addressing a college in US, President Joe Biden gave dating advice to a girl, saying, ""Now a very important thing I told my daughters and granddaughters- no serious guys until you're 30."" The video of the exchange shows Biden getting a picture clicked with the girl before grabbing her shoulder and advising her.",us president grabs girl shoulder say no serious guy video viral address college president joe biden give date advice girl say important thing I tell daughter granddaughters no serious guy video exchange show biden get picture click girl grab shoulder advise
"Nearly 9,000 Russian troops will be stationed in country: Belarus","Belarus's Defence Ministry has said just under 9,000 Russian troops would be stationed in the country as part of a ""regional grouping"" of forces to protect its borders. ""The first convoys of Russian servicemen...have arrived,"" the ministry said on Saturday. Belarus declared the joint troop deployment last week, saying it was in response to ""threats"" from Ukraine and the West.",world,"Nearly 9,000 Russian troops will be stationed in country: Belarus. Belarus's Defence Ministry has said just under 9,000 Russian troops would be stationed in the country as part of a ""regional grouping"" of forces to protect its borders. ""The first convoys of Russian servicemen...have arrived,"" the ministry said on Saturday. Belarus declared the joint troop deployment last week, saying it was in response to ""threats"" from Ukraine and the West.",nearly russian troop station country belarus belaruss defence ministry say russian troop would station country part regional grouping force protect border first convoy russian serviceman arrive ministry say saturday belarus declare joint troop deployment last week say response threat ukraine west
4 injured as strikes hit Russian region bordering Ukraine: Guv,"At least four people were injured after Russia's Belgorod region bordering Ukraine was hit by strikes on Sunday, Russian officials said. The city of Belgorod witnessed around 16 explosions, Russia’s investigative committee, which probes serious crimes, said on Sunday. Russia last week reported an alleged rise in artillery and missile strikes on its territories bordering Ukraine.",world,"4 injured as strikes hit Russian region bordering Ukraine: Guv. At least four people were injured after Russia's Belgorod region bordering Ukraine was hit by strikes on Sunday, Russian officials said. The city of Belgorod witnessed around 16 explosions, Russia’s investigative committee, which probes serious crimes, said on Sunday. Russia last week reported an alleged rise in artillery and missile strikes on its territories bordering Ukraine.",injure strike hit russian region border ukraine guv least four people injure russias belgorod region border ukraine hit strike sunday russian official say city belgorod witness around explosion russia investigative committee probe serious crime say sunday russia last week report allege rise artillery missile strike territory border ukraine
Donetsk mayor's office hit by Ukrainian shelling: Pro-Russia officials,"Ukrainian shelling on Sunday morning damaged the mayor's office in the city of Donetsk, the capital of the Donetsk region, Moscow-backed authorities said. The main entry into the building was hit and several nearby cars were damaged, the authorities added. There were no immediate reports of casualties. Moscow-backed authorities seized control of Donetsk city from Ukraine in 2014.",world,"Donetsk mayor's office hit by Ukrainian shelling: Pro-Russia officials. Ukrainian shelling on Sunday morning damaged the mayor's office in the city of Donetsk, the capital of the Donetsk region, Moscow-backed authorities said. The main entry into the building was hit and several nearby cars were damaged, the authorities added. There were no immediate reports of casualties. Moscow-backed authorities seized control of Donetsk city from Ukraine in 2014.",donetsk mayor office hit ukrainian shelling pro russia official ukrainian shell sunday morning damage mayor office city donetsk capital donetsk region moscow back authority say main entry building hit several nearby car damage authority add no immediate report casualty moscow back authority seize control donetsk city ukraine
"Ukrainian advances repelled in several regions, Russia says","Russia's Defence Ministry on Sunday said that its troops had repelled efforts by Ukrainian forces to make territorial gains in the Donetsk, Kherson and Mykolaiv regions. The ministry also said Russian forces had inflicted what it called significant losses against the enemy. Russia also said it was continuing air strikes on military and energy targets in Ukraine, using precision-guided weapons.",world,"Ukrainian advances repelled in several regions, Russia says. Russia's Defence Ministry on Sunday said that its troops had repelled efforts by Ukrainian forces to make territorial gains in the Donetsk, Kherson and Mykolaiv regions. The ministry also said Russian forces had inflicted what it called significant losses against the enemy. Russia also said it was continuing air strikes on military and energy targets in Ukraine, using precision-guided weapons.",ukrainian advance repel several region russia say russias defence ministry sunday say troop repel effort ukrainian force make territorial gain donetsk kherson mykolaiv region ministry also say russian force inflict call significant loss enemy russia also say continue air strike military energy target ukraine use precision guide weapon
Ukraine's Kharkiv Art Museum to preserve art collection using NFTs,"Kharkiv Art Museum (KAM) in Ukraine on October 13 said the Binance NFT market now stocks 15 works of art from the museum's Art without Borders collection. As stated in the official announcement, the earnings from the project will be used to support the museum's operations. The NFT collection will also ""preserve the cultural heritage of Ukraine"", the announcement added.",world,"Ukraine's Kharkiv Art Museum to preserve art collection using NFTs. Kharkiv Art Museum (KAM) in Ukraine on October 13 said the Binance NFT market now stocks 15 works of art from the museum's Art without Borders collection. As stated in the official announcement, the earnings from the project will be used to support the museum's operations. The NFT collection will also ""preserve the cultural heritage of Ukraine"", the announcement added.",ukraines kharkiv art museum preserve art collection use nft kharkiv art museum kam ukraine october say binance nft market stock work art museum art without border collection state official announcement earning project use support museum operation nft collection also preserve cultural heritage ukraine announcement add
